order_item_id,order_id,product_id,product_name,category,quantity,unit_price
1,1249,4,Coffee Maker,Home & Garden,2,49.99
2,1117,5,Yoga Mat,Sports,1,28.5
3,1117,12,Air Purifier,Home & Garden,3,120.0
4,1117,8,Desk Lamp,Home & Garden,1,32.0
5,1178,13,Fitness Tracker,Electronics,3,99.99
6,1178,15,Cotton T-Shirt,Clothing,3,24.99
7,1046,13,Fitness Tracker,Electronics,1,99.99
8,1046,4,Coffee Maker,Home & Garden,3,49.99
9,1046,7,Data Science Handbook,Books,1,42.0
10,1235,11,SQL for Beginners,Books,1,29.99
11,1220,14,Winter Jacket,Clothing,1,149.0
12,1220,3,Python Programming Book,Books,1,34.99
13,1191,3,Python Programming Book,Books,2,34.99
14,1177,10,Cycling Gloves,Sports,3,22.0
15,1132,15,Cotton T-Shirt,Clothing,1,24.99
16,1132,5,Yoga Mat,Sports,2,28.5
17,1132,8,Desk Lamp,Home & Garden,3,32.0
18,1199,12,Air Purifier,Home & Garden,2,120.0
19,1199,7,Data Science Handbook,Books,3,42.0
20,1186,8,Desk Lamp,Home & Garden,3,32.0
21,1186,15,Cotton T-Shirt,Clothing,1,24.99
22,1186,2,Running Shoes,Sports,2,65.0
23,1182,6,Smartphone Case,Electronics,1,15.99
24,1182,10,Cycling Gloves,Sports,1,22.0
25,1182,5,Yoga Mat,Sports,1,28.5
26,1193,14,Winter Jacket,Clothing,3,149.0
27,1193,15,Cotton T-Shirt,Clothing,1,24.99
28,1193,10,Cycling Gloves,Sports,3,22.0
29,1005,10,Cycling Gloves,Sports,1,22.0
30,1005,1,Wireless Headphones,Electronics,2,89.99
31,1121,11,SQL for Beginners,Books,1,29.99
32,1121,8,Desk Lamp,Home & Garden,3,32.0
33,1121,5,Yoga Mat,Sports,2,28.5
34,1137,14,Winter Jacket,Clothing,2,149.0
35,1137,8,Desk Lamp,Home & Garden,2,32.0
36,1137,2,Running Shoes,Sports,2,65.0
37,1203,6,Smartphone Case,Electronics,1,15.99
38,1203,11,SQL for Beginners,Books,1,29.99
39,1016,6,Smartphone Case,Electronics,2,15.99
40,1233,8,Desk Lamp,Home & Garden,2,32.0
41,1233,5,Yoga Mat,Sports,3,28.5
42,1233,11,SQL for Beginners,Books,1,29.99
43,1237,2,Running Shoes,Sports,2,65.0
44,1237,6,Smartphone Case,Electronics,2,15.99
45,1095,2,Running Shoes,Sports,2,65.0
46,1238,14,Winter Jacket,Clothing,3,149.0
47,1238,1,Wireless Headphones,Electronics,2,89.99
48,1238,11,SQL for Beginners,Books,2,29.99
49,1072,4,Coffee Maker,Home & Garden,3,49.99
50,1096,10,Cycling Gloves,Sports,2,22.0
51,1096,13,Fitness Tracker,Electronics,3,99.99
52,1143,13,Fitness Tracker,Electronics,1,99.99
53,1143,1,Wireless Headphones,Electronics,2,89.99
54,1073,9,Bluetooth Speaker,Electronics,1,55.0
55,1104,8,Desk Lamp,Home & Garden,2,32.0
56,1104,12,Air Purifier,Home & Garden,1,120.0
57,1170,11,SQL for Beginners,Books,3,29.99
58,1022,12,Air Purifier,Home & Garden,1,120.0
59,1211,9,Bluetooth Speaker,Electronics,3,55.0
60,1211,1,Wireless Headphones,Electronics,2,89.99
61,1004,2,Running Shoes,Sports,1,65.0
62,1041,8,Desk Lamp,Home & Garden,1,32.0
63,1246,14,Winter Jacket,Clothing,3,149.0
64,1246,3,Python Programming Book,Books,2,34.99
